"global_step","train-dgx_1nodo_semifreezed_0.000001_full - _step","train-dgx_1nodo_semifreezed_0.000001_full - _step__MIN","train-dgx_1nodo_semifreezed_0.000001_full - _step__MAX","train-dgx_1nodo_semifreezed_0.000001_full - losses/inner_action_loss","train-dgx_1nodo_semifreezed_0.000001_full - losses/inner_action_loss__MIN","train-dgx_1nodo_semifreezed_0.000001_full - losses/inner_action_loss__MAX","train-dgx_1nodo_semifreezed_0.00001_full - _step","train-dgx_1nodo_semifreezed_0.00001_full - _step__MIN","train-dgx_1nodo_semifreezed_0.00001_full - _step__MAX","train-dgx_1nodo_semifreezed_0.00001_full - losses/inner_action_loss","train-dgx_1nodo_semifreezed_0.00001_full - losses/inner_action_loss__MIN","train-dgx_1nodo_semifreezed_0.00001_full - losses/inner_action_loss__MAX","train-dgx_1nodo_semifreezed_0.0001_full - _step","train-dgx_1nodo_semifreezed_0.0001_full - _step__MIN","train-dgx_1nodo_semifreezed_0.0001_full - _step__MAX","train-dgx_1nodo_semifreezed_0.0001_full - losses/inner_action_loss","train-dgx_1nodo_semifreezed_0.0001_full - losses/inner_action_loss__MIN","train-dgx_1nodo_semifreezed_0.0001_full - losses/inner_action_loss__MAX","train-dgx_1nodo_freezed_full - _step","train-dgx_1nodo_freezed_full - _step__MIN","train-dgx_1nodo_freezed_full - _step__MAX","train-dgx_1nodo_freezed_full - losses/inner_action_loss","train-dgx_1nodo_freezed_full - losses/inner_action_loss__MIN","train-dgx_1nodo_freezed_full - losses/inner_action_loss__MAX"
"307200","","","","","","","","","","","","","","","","","","","295","295","295","0.23272248","0.23272248","0.23272248"
"311040","","","","","","","62135","62135","62135","0.60485387","0.60485387","0.60485387","31440","535","62345","0.4015885","0.35148305","0.45169395","","","","","",""
"316800","","","","","","","62145","62145","62145","0.6621782","0.6621782","0.6621782","31450","545","62355","0.34054947","0.28257436","0.39852458","","","","","",""
"317440","","","","","","","","","","","","","","","","","","","305","305","305","0.4079958","0.4079958","0.4079958"
"322560","","","","","","","","","","","","","62365","62365","62365","0.29526988","0.29526988","0.29526988","","","","","",""
"328320","565","565","565","0.48112053","0.48112053","0.48112053","565","565","565","0.3299961","0.3299961","0.3299961","62375","62375","62375","0.3236419","0.3236419","0.3236419","","","","","",""
"334080","31285","575","61995","0.578639435","0.39683917","0.7604397","575","575","575","0.37390903","0.37390903","0.37390903","575","575","575","0.19533162","0.19533162","0.19533162","","","","","",""
"339840","","","","","","","62185","62185","62185","0.45099127","0.45099127","0.45099127","","","","","","","","","","","",""
"345600","62015","62015","62015","0.92582303","0.92582303","0.92582303","","","","","","","","","","","","","","","","","",""
"348160","","","","","","","","","","","","","","","","","","","335","335","335","0.43158284","0.43158284","0.43158284"
"351360","31315","605","62025","0.49465439","0.42814553","0.56116325","62205","62205","62205","0.547523","0.547523","0.547523","605","605","605","0.4310782","0.4310782","0.4310782","","","","","",""
"357120","62035","62035","62035","0.3686368","0.3686368","0.3686368","","","","","","","","","","","","","","","","","",""
"362880","62045","62045","62045","0.42456764","0.42456764","0.42456764","31425","625","62225","0.38230322","0.35353914","0.4110673","625","625","625","0.43289804","0.43289804","0.43289804","","","","","",""
"368640","62055","62055","62055","0.4185696","0.4185696","0.4185696","31435","635","62235","0.37124857499999997","0.32828218","0.41421497","635","635","635","0.39535606","0.39535606","0.39535606","","","","","",""
"374400","","","","","","","","","","","","","645","645","645","0.3231092","0.3231092","0.3231092","","","","","",""
"380160","62075","62075","62075","0.30086857","0.30086857","0.30086857","","","","","","","31560","655","62465","0.41727134","0.28724658","0.5472961","","","","","",""
"385920","","","","","","","665","665","665","0.32874623","0.32874623","0.32874623","","","","","","","","","","","",""
"391680","","","","","","","31475","675","62275","0.47643162","0.40910554","0.5437577","31580","675","62485","0.49586077500000003","0.34659725","0.6451243","","","","","",""
"397440","31395","685","62105","0.35741037","0.33201042","0.38281032","685","685","685","0.35095745","0.35095745","0.35095745","","","","","","","","","","","",""
"403200","","","","","","","31495","695","62295","0.416990525","0.41269755","0.4212835","695","695","695","0.2757267","0.2757267","0.2757267","","","","","",""
"408960","","","","","","","31505","705","62305","0.495358835","0.48514807","0.5055696","705","705","705","0.6965836","0.6965836","0.6965836","","","","","",""
"414720","715","715","715","0.68586886","0.68586886","0.68586886","","","","","","","31620","715","62525","0.48368639999999996","0.4344027","0.5329701","","","","","",""
"420480","","","","","","","725","725","725","0.4052636","0.4052636","0.4052636","31630","725","62535","0.64617663","0.57141566","0.7209376","","","","","",""
"426240","62155","62155","62155","0.392161","0.392161","0.392161","31535","735","62335","0.47307913","0.44035146","0.5058068","735","735","735","0.64767563","0.64767563","0.64767563","","","","","",""
"432000","","","","","","","62345","62345","62345","0.5001523","0.5001523","0.5001523","745","745","745","0.72558814","0.72558814","0.72558814","","","","","",""
"437760","31465","755","62175","0.44660354999999996","0.43913564","0.45407146","755","755","755","0.33598512","0.33598512","0.33598512","31660","755","62565","0.469275055","0.46790087","0.47064924","","","","","",""
"440320","","","","","","","","","","","","","","","","","","","425","425","425","0.7959284","0.7959284","0.7959284"
"443520","62185","62185","62185","0.2677962","0.2677962","0.2677962","31565","765","62365","0.54196164","0.44148648","0.6424368","","","","","","","","","","","",""
"449280","","","","","","","62375","62375","62375","0.43905017","0.43905017","0.43905017","","","","","","","","","","","",""
"455040","785","785","785","0.46227434","0.46227434","0.46227434","","","","","","","31690","785","62595","0.47231474500000004","0.47038475","0.47424474","","","","","",""
"460800","62215","62215","62215","0.29179582","0.29179582","0.29179582","795","795","795","0.4237525","0.4237525","0.4237525","31700","795","62605","0.527098385","0.51078767","0.5434091","445","445","445","0.46551704","0.46551704","0.46551704"
"466560","31515","805","62225","0.27254734999999997","0.25780916","0.28728554","31605","805","62405","0.6611231","0.603875","0.7183712","","","","","","","","","","","",""
"471040","","","","","","","","","","","","","","","","","","","455","455","455","0.31903988","0.31903988","0.31903988"
"472320","31525","815","62235","0.24155190499999998","0.17263308","0.31047073","","","","","","","62625","62625","62625","0.61463445","0.61463445","0.61463445","","","","","",""
"478080","62245","62245","62245","0.25443363","0.25443363","0.25443363","825","825","825","0.73950845","0.73950845","0.73950845","825","825","825","0.45102593","0.45102593","0.45102593","","","","","",""
"483840","","","","","","","31635","835","62435","0.5864206249999999","0.57634115","0.5965001","62645","62645","62645","0.50433016","0.50433016","0.50433016","","","","","",""
"489600","62265","62265","62265","0.26867008","0.26867008","0.26867008","31645","845","62445","0.586220915","0.55963963","0.6128022","62655","62655","62655","0.4719014","0.4719014","0.4719014","","","","","",""
"491520","","","","","","","","","","","","","","","","","","","475","475","475","0.44987938","0.44987938","0.44987938"
"495360","855","855","855","0.5368152","0.5368152","0.5368152","31655","855","62455","0.530125855","0.42409235","0.63615936","62665","62665","62665","0.48448125","0.48448125","0.48448125","","","","","",""
"506880","875","875","875","0.53411067","0.53411067","0.53411067","62475","62475","62475","0.647781","0.647781","0.647781","31780","875","62685","0.38269786","0.275261","0.49013472","","","","","",""
"512640","","","","","","","885","885","885","0.3773817","0.3773817","0.3773817","31790","885","62695","0.4755463","0.3390202","0.6120724","","","","","",""
"518400","895","895","895","0.53634906","0.53634906","0.53634906","62495","62495","62495","0.744934","0.744934","0.744934","31800","895","62705","0.38043608500000003","0.22220607","0.5386661","","","","","",""
"524160","62325","62325","62325","0.6416169","0.6416169","0.6416169","62505","62505","62505","0.27391443","0.27391443","0.27391443","62715","62715","62715","0.44593993","0.44593993","0.44593993","","","","","",""
"529920","62335","62335","62335","0.5997275","0.5997275","0.5997275","915","915","915","0.26933217","0.26933217","0.26933217","915","915","915","0.3718206","0.3718206","0.3718206","","","","","",""
"532480","","","","","","","","","","","","","","","","","","","515","515","515","0.3112814","0.3112814","0.3112814"
"535680","31635","925","62345","0.46557214999999996","0.27541256","0.65573174","","","","","","","62735","62735","62735","0.43476883","0.43476883","0.43476883","","","","","",""
"541440","","","","","","","31735","935","62535","0.31490271000000003","0.31245816","0.31734726","","","","","","","","","","","",""
"547200","62365","62365","62365","0.51902246","0.51902246","0.51902246","945","945","945","0.21937059","0.21937059","0.21937059","31850","945","62755","0.4335391","0.3807838","0.4862944","","","","","",""
"552960","31665","955","62375","0.489722425","0.34812915","0.6313157","31755","955","62555","0.34509179","0.30552894","0.38465464","","","","","","","","","","","",""
"558720","965","965","965","0.35572085","0.35572085","0.35572085","31765","965","62565","0.32113501499999997","0.31359047","0.32867956","","","","","","","","","","","",""
"564480","975","975","975","0.6731776","0.6731776","0.6731776","","","","","","","975","975","975","0.5720313","0.5720313","0.5720313","","","","","",""
"570240","","","","","","","31785","985","62585","0.41904818","0.3713171","0.46677926","62795","62795","62795","0.9049083","0.9049083","0.9049083","","","","","",""
"573440","","","","","","","","","","","","","","","","","","","555","555","555","0.33135152","0.33135152","0.33135152"
"576000","","","","","","","62595","62595","62595","0.40482345","0.40482345","0.40482345","31900","995","62805","0.583211665","0.56423163","0.6021917","","","","","",""
"581760","1005","1005","1005","0.4678713","0.4678713","0.4678713","62605","62605","62605","0.56261766","0.56261766","0.56261766","","","","","","","","","","","",""
"587520","62435","62435","62435","0.42437467","0.42437467","0.42437467","31815","1015","62615","0.402539035","0.28447497","0.5206031","1015","1015","1015","0.3582347","0.3582347","0.3582347","","","","","",""
"593280","1025","1025","1025","0.48002625","0.48002625","0.48002625","1025","1025","1025","0.31737414","0.31737414","0.31737414","62835","62835","62835","0.39317206","0.39317206","0.39317206","","","","","",""
"593920","","","","","","","","","","","","","","","","","","","575","575","575","0.19512725","0.19512725","0.19512725"
"599040","31745","1035","62455","0.500335395","0.48915964","0.51151115","","","","","","","62845","62845","62845","0.3844018","0.3844018","0.3844018","","","","","",""
"604800","62465","62465","62465","0.6016577","0.6016577","0.6016577","","","","","","","","","","","","","","","","","",""
"610560","1055","1055","1055","0.48303607","0.48303607","0.48303607","1055","1055","1055","0.593993","0.593993","0.593993","62865","62865","62865","0.47619754","0.47619754","0.47619754","","","","","",""
"614400","","","","","","","","","","","","","","","","","","","595","595","595","0.23563392","0.23563392","0.23563392"
"616320","62485","62485","62485","0.43723845","0.43723845","0.43723845","1065","1065","1065","0.5681558","0.5681558","0.5681558","1065","1065","1065","0.51565313","0.51565313","0.51565313","","","","","",""
"622080","1075","1075","1075","0.4574383","0.4574383","0.4574383","","","","","","","62885","62885","62885","0.57459795","0.57459795","0.57459795","","","","","",""
"624640","","","","","","","","","","","","","","","","","","","605","605","605","0.40198985","0.40198985","0.40198985"
"633600","1095","1095","1095","0.48505342","0.48505342","0.48505342","","","","","","","","","","","","","","","","","",""
"634880","","","","","","","","","","","","","","","","","","","615","615","615","0.460283","0.460283","0.460283"
"639360","62525","62525","62525","0.7771432","0.7771432","0.7771432","1105","1105","1105","0.5291894","0.5291894","0.5291894","","","","","","","","","","","",""
"645120","1115","1115","1115","0.35543957","0.35543957","0.35543957","","","","","","","","","","","","","","","","","",""
"650880","","","","","","","62725","62725","62725","0.4934432","0.4934432","0.4934432","","","","","","","","","","","",""
"656640","","","","","","","","","","","","","1135","1135","1135","0.4266016","0.4266016","0.4266016","","","","","",""
"662400","31855","1145","62565","0.53938103","0.3990109","0.67975116","","","","","","","","","","","","","","","","","",""
"665600","","","","","","","","","","","","","","","","","","","645","645","645","0.31545782","0.31545782","0.31545782"
"668160","62575","62575","62575","0.38474643","0.38474643","0.38474643","","","","","","","62965","62965","62965","0.30574736","0.30574736","0.30574736","","","","","",""
"673920","1165","1165","1165","0.29376668","0.29376668","0.29376668","31965","1165","62765","0.49077271","0.44781342","0.533732","","","","","","","","","","","",""
"679680","","","","","","","62775","62775","62775","0.39910433","0.39910433","0.39910433","32080","1175","62985","0.30059166000000004","0.257905","0.34327832","","","","","",""
"686080","","","","","","","","","","","","","","","","","","","665","665","665","0.35629493","0.35629493","0.35629493"
"691200","","","","","","","","","","","","","63005","63005","63005","0.2867597","0.2867597","0.2867597","","","","","",""
"696960","31915","1205","62625","0.80329715","0.6793568","0.9272375","1205","1205","1205","0.33744073","0.33744073","0.33744073","","","","","","","","","","","",""
"702720","31925","1215","62635","0.6466978","0.5891334","0.7042622","","","","","","","32120","1215","63025","0.3075354","0.2812759","0.3337949","","","","","",""
"708480","","","","","","","62825","62825","62825","0.5815722","0.5815722","0.5815722","63035","63035","63035","0.33023804","0.33023804","0.33023804","","","","","",""
"714240","62655","62655","62655","0.63449585","0.63449585","0.63449585","62835","62835","62835","0.6776198","0.6776198","0.6776198","1235","1235","1235","0.26016158","0.26016158","0.26016158","","","","","",""
"716800","","","","","","","","","","","","","","","","","","","695","695","695","0.25439215","0.25439215","0.25439215"
"720000","62665","62665","62665","0.5905798","0.5905798","0.5905798","","","","","","","63055","63055","63055","0.40784118","0.40784118","0.40784118","","","","","",""
"725760","31965","1255","62675","0.51521205","0.4343031","0.596121","32055","1255","62855","0.539531175","0.47110838","0.60795397","1255","1255","1255","0.46962428","0.46962428","0.46962428","","","","","",""
"727040","","","","","","","","","","","","","","","","","","","705","705","705","0.5190504","0.5190504","0.5190504"
"731520","","","","","","","1265","1265","1265","0.6169831","0.6169831","0.6169831","32170","1265","63075","0.58044459","0.48131964","0.67956954","","","","","",""
