"global_step","train-good_full_from_scratch_lr_3e5_beta_3 - _step","train-good_full_from_scratch_lr_3e5_beta_3 - _step__MIN","train-good_full_from_scratch_lr_3e5_beta_3 - _step__MAX","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss__MIN","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss__MAX","train-good_full_dataset_lr_3e6 - _step","train-good_full_dataset_lr_3e6 - _step__MIN","train-good_full_dataset_lr_3e6 - _step__MAX","train-good_full_dataset_lr_3e6 - losses/vf_loss","train-good_full_dataset_lr_3e6 - losses/vf_loss__MIN","train-good_full_dataset_lr_3e6 - losses/vf_loss__MAX","train-good_full_dataset_lr_3e4 - _step","train-good_full_dataset_lr_3e4 - _step__MIN","train-good_full_dataset_lr_3e4 - _step__MAX","train-good_full_dataset_lr_3e4 - losses/vf_loss","train-good_full_dataset_lr_3e4 - losses/vf_loss__MIN","train-good_full_dataset_lr_3e4 - losses/vf_loss__MAX"
"245936","","","","","","","259","259","259","0.1076662540435791","0.1076662540435791","0.1076662540435791","","","","","",""
"248832","242","242","242","0.0037160248029977083","0.0037160248029977083","0.0037160248029977083","","","","","","","","","","","",""
"250576","","","","","","","","","","","","","250","250","250","0.047680508345365524","0.047680508345365524","0.047680508345365524"
"256000","249","249","249","0.006250388454645872","0.006250388454645872","0.006250388454645872","","","","","","","","","","","",""
"257796","","","","","","","271","271","271","0.11087684333324432","0.11087684333324432","0.11087684333324432","","","","","",""
"258616","","","","","","","","","","","","","258","258","258","0.037863582372665405","0.037863582372665405","0.037863582372665405"
"259576","","","","","","","","","","","","","259","259","259","0.03767310082912445","0.03767310082912445","0.03767310082912445"
"261800","","","","","","","275","275","275","0.12086546421051025","0.12086546421051025","0.12086546421051025","","","","","",""
"263168","256","256","256","0.004711615853011608","0.004711615853011608","0.004711615853011608","","","","","","","","","","","",""
"263620","","","","","","","277","277","277","0.10574623197317123","0.10574623197317123","0.10574623197317123","","","","","",""
"267264","260","260","260","0.004759756848216057","0.004759756848216057","0.004759756848216057","","","","","","","","","","","",""
"268484","","","","","","","282","282","282","0.10784077644348145","0.10784077644348145","0.10784077644348145","","","","","",""
"271516","","","","","","","","","","","","","271","271","271","0.03550273925065994","0.03550273925065994","0.03550273925065994"
"275560","","","","","","","","","","","","","275","275","275","0.03908330947160721","0.03908330947160721","0.03908330947160721"
"277504","270","270","270","0.0073180668987333775","0.0073180668987333775","0.0073180668987333775","","","","","","","","","","","",""
"277536","","","","","","","","","","","","","277","277","277","0.03832213580608368","0.03832213580608368","0.03832213580608368"
"282424","","","","","","","","","","","","","282","282","282","0.03933987766504288","0.03933987766504288","0.03933987766504288"
"290048","","","","","","","305","305","305","0.11028328537940979","0.11028328537940979","0.11028328537940979","","","","","",""
"291840","284","284","284","0.009428983554244041","0.009428983554244041","0.009428983554244041","","","","","","","","","","","",""
"293008","","","","","","","308","308","308","0.10355125367641449","0.10355125367641449","0.10355125367641449","","","","","",""
"293880","","","","","","","309","309","309","0.13523778319358826","0.13523778319358826","0.13523778319358826","","","","","",""
"300032","292","292","292","0.012243774719536304","0.012243774719536304","0.012243774719536304","","","","","","","","","","","",""
"305084","","","","","","","","","","","","","305","305","305","0.035808101296424866","0.035808101296424866","0.035808101296424866"
"305152","297","297","297","0.009735241532325745","0.009735241532325745","0.009735241532325745","","","","","","","","","","","",""
"307764","","","","","","","324","324","324","0.10765805095434189","0.10765805095434189","0.10765805095434189","","","","","",""
